timestamp,time,service,service_id,cpu_usage_millicores,memory_usage_bytes,pod_replicas_count,allocated_cpu_quota_millicores,error_rate_ratio,request_per_second,latency_p50_seconds,latency_p95_seconds,latency_p99_seconds,cpu_usage_millicores_norm,memory_usage_bytes_norm,pod_replicas_count_norm,allocated_cpu_quota_millicores_norm,error_rate_ratio_norm,request_per_second_norm,latency_p50_seconds_norm,latency_p95_seconds_norm,latency_p99_seconds_norm,target_cpu_usage_millicores,target_request_per_second,target_error_rate_ratio,target_latency_p99_seconds,target_cpu_usage_millicores_norm,target_request_per_second_norm,target_error_rate_ratio_norm,target_latency_p99_seconds_norm
1779842943,2026-05-27 00:49:03+00:00,adservice,0,4.674313547380549,140324864.0,1.0,300.00000000000006,0.0,0.0,0.0,0.0,0.0,0.003403386810671493,0.4409273902926216,0.1,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,4.971641585066381,0.0,0.0,0.0,0.003619872570911063,0.0,0.0,0.0
1779842958,2026-05-27 00:49:18+00:00,adservice,0,4.971641585066381,140320768.0,1.0,300.00000000000006,0.0,0.0,0.0,0.0,0.0,0.003619872570911063,0.44091451988221,0.1,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,4.4210734271367365,0.0,0.0,0.0,0.003219001643430489,0.0,0.0,0.0
1779842973,2026-05-27 00:49:33+00:00,adservice,0,4.4210734271367365,140320768.0,1.0,300.00000000000006,0.0,0.0,0.0,0.0,0.0,0.003219001643430489,0.44091451988221,0.1,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,4.467858902582737,0.0,0.0,0.0,0.0032530663394441193,0.0,0.0,0.0
1779842988,2026-05-27 00:49:48+00:00,adservice,0,4.467858902582737,140324864.0,1.0,300.00000000000006,0.0,0.0,0.0,0.0,0.0,0.0032530663394441193,0.4409273902926216,0.1,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,4.287731289108346,0.0,0.0,0.0,0.0031219146873945856,0.0,0.0,0.0
1779843003,2026-05-27 00:50:03+00:00,adservice,0,4.287731289108346,140320768.0,1.0,300.00000000000006,0.0,0.0,0.0,0.0,0.0,0.0031219146873945856,0.44091451988221,0.1,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,4.396383187440489,0.0,0.0,0.0,0.0032010245789304797,0.0,0.0,0.0
1779843018,2026-05-27 00:50:18+00:00,adservice,0,4.396383187440489,140324864.0,1.0,300.00000000000006,0.0,0.0,0.0,0.0,0.0,0.0032010245789304797,0.4409273902926216,0.1,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,4.36640748548712,0.0,0.0,0.0,0.0031791991477447853,0.0,0.0,0.0
1779843033,2026-05-27 00:50:33+00:00,adservice,0,4.36640748548712,140320768.0,1.0,300.00000000000006,0.0,0.0,0.0,0.0,0.0,0.0031791991477447853,0.44091451988221,0.1,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,4.307757799926986,0.0,0.0,0.0,0.0031364960718252735,0.0,0.0,0.0
1779843048,2026-05-27 00:50:48+00:00,adservice,0,4.307757799926986,140324864.0,1.0,300.00000000000006,0.0,0.0,0.0,0.0,0.0,0.0031364960718252735,0.4409273902926216,0.1,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,4.61279372093761,0.0,0.0,0.0,0.0033585939734370224,0.0,0.0,0.0
1779843063,2026-05-27 00:51:03+00:00,adservice,0,4.61279372093761,140320768.0,1.0,300.00000000000006,0.0,0.0,0.0,0.0,0.0,0.0033585939734370224,0.44091451988221,0.1,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,4.8923412123619725,0.0,0.0,0.0,0.003562133645225437,0.0,0.0,0.0
1779843078,2026-05-27 00:51:18+00:00,adservice,0,4.8923412123619725,140398592.0,1.0,300.00000000000006,0.0,0.0,0.0,0.0,0.0,0.003562133645225437,0.4411590576800313,0.1,0.25000000000000006,0.0,0.0,0.0,0.0,0.0,4.93574601335327,0.0,0.0,0.0,0.003593736858342449,0.0,0.0,0.0
