timestamp,phase,error_injected,load_level,group,service,r_old,r_new,action,effective_delta,cpu_before,rps_before,err_before,lat_before,cpu_after,rps_after,err_after,lat_after
1782208913,error_injection,1,260,core,frontend,4,3,-1,-1,514.8807148958538,87.06666666666666,0.02947932584824664,0.9710398230088493,556.4019498161073,88.04213754708805,0.027262400296179393,0.9744615384615384
1782209009,error_injection,1,260,core,frontend,3,4,1,1,559.8056109749645,87.5,0.027428571115102045,0.9775814751286448,511.300950185555,88.03333333333333,0.029534266987494128,0.9825315457413251
1782209105,error_injection,1,260,core,frontend,4,5,1,1,452.4008889652471,86.5,0.028901733769922153,0.9756601941747571,469.22959337163354,87.84031457229497,0.029969650645159624,0.9715732758620691
1782209201,error_injection,1,260,core,frontend,5,4,-1,-1,575.4320200589759,87.8,0.029233105209949446,0.9738012958963284,562.5339387840133,86.10000000000001,0.031358884653206916,0.9749903100775196
1782209296,error_injection,1,260,core,frontend,4,5,1,1,560.1956386262738,87.6262878863659,0.025114154964536298,0.9583015873015872,491.5039034532021,86.93333333333334,0.028374232802443642,0.9790056818181821
1782209392,error_injection,1,260,core,frontend,5,5,0,0,562.7388209688108,87.66666666666667,0.026615969278144837,0.9707666666666669,529.1365426161477,86.8,0.01689708121854361,0.9651196808510636
1782209546,error_injection,1,260,core,frontend,5,6,1,1,1111.882196104105,95.06467047151538,0.03506327736835594,0.23718992918887374,1072.0798415407094,93.66600805328272,0.03665477701784481,0.24377888785021046
1782209642,error_injection,1,260,core,frontend,6,7,1,1,1075.3592150133995,95.16666666666667,0.03082311701411786,0.2394845890410959,1107.482195802441,94.23333333333333,0.03254333180887869,0.2353217993079585
1782209737,error_injection,1,260,core,frontend,7,7,0,0,1139.3840314396155,95.3917931517403,0.03144704506638972,0.24351584991101496,1041.5435768215832,94.39740034662046,0.03707625618216048,0.23920863029919595
1782209833,error_injection,1,260,core,recommendationservice,2,3,1,1,105.12125086358724,62.502818418454375,0,0.02498578159003001,126.89035278363112,61.730120594550954,0,0.024627867254862112
1782209929,error_injection,1,260,core,frontend,7,8,1,1,1063.8062574572343,94.43201598233021,0.04341705436490803,0.23891591481157531,951.7140167718783,94.12967694987836,0.04249331728070633,0.23663662910511307
1782210025,error_injection,1,260,core,frontend,8,9,1,1,947.1166932815531,94.70056694112404,0.030975233794075057,0.24862111151312913,996.0944840627991,94.86666666666666,0.033380182360714876,0.22555517241379308
1782210121,error_injection,1,260,core,frontend,9,10,1,1,1083.3805553197078,95.60128675245016,0.03940012015681466,0.23149148641692419,1102.3883992212595,94.60127119585749,0.03241713513369684,0.2471841012428658
1782210217,error_injection,1,260,core,checkoutservice,1,2,1,1,21.858733793358585,2.4000089097006327,0,0.1345076489852251,22.58774903378203,2.6998544622579272,0,0.13299789963000275
1782210313,error_injection,1,260,core,frontend,10,9,-1,-1,976.1138775507229,94.1024534968998,0.035069199862427104,0.24105740551488145,1101.624029387103,94.35859146515509,0.041327557173931335,0.24001557040413862
1782210409,error_injection,1,260,core,frontend,9,8,-1,-1,1019.2706744657922,96.36666666666666,0.03459010687038976,0.2391354430379747,1031.815795957451,95.63534686802014,0.03485534809717258,0.2453501213635156
1782210505,error_injection,1,260,core,checkoutservice,2,2,0,0,23.590729526686456,2.7667555785186915,0,0.23462465936929525,22.07518406194705,2.799960002666489,0,0.09923584821411725
1782210601,error_injection,1,260,core,frontend,8,7,-1,-1,980.9789726301631,94.4345978620797,0.03529829155074476,0.23826371938683086,1130.245045556321,94.36785028923555,0.040975242267636235,0.23822078880954747
1782210697,error_injection,1,260,core,checkoutservice,2,1,-1,-1,20.62652043881564,2.9003523076847513,0,0.21887394389365483,25.123540148169358,3.4001378069692803,0,0.0989361613912051
1782210792,error_injection,1,260,core,frontend,7,6,-1,-1,983.1793688530843,94.39875563851298,0.04307909851462543,0.23935913974587114,1159.1958126169034,94.96475352464753,0.0333451782981684,0.23970681419136317
1782210888,error_injection,1,260,core,frontend,6,5,-1,-1,1168.6427867751354,95.16854685468547,0.030823173612774764,0.2417346901834864,986.6526545314855,95.53791572084128,0.031402785558068774,0.24097570390666442
1782210984,error_injection,1,260,core,frontend,5,4,-1,-1,1074.2396209643127,95.0987448628235,0.036102474117375,0.24620154330409155,973.9463594609981,95.20453607215666,0.0423675778326339,0.23867208679225485
1782211080,error_injection,1,260,core,frontend,4,5,1,1,972.2491706655655,96.16666666666667,0.03570190604122801,0.22967005076142163,914.4808825752065,93.19999999999999,0.04363376204970927,0.23927952755905504
1782211176,error_injection,1,260,core,frontend,5,6,1,1,1096.5160541400876,95.39630715904546,0.03179596623515165,0.24410661780910292,925.2877219215491,94.66666666666667,0.03873239395705218,0.2414884526558891
