timestamp,phase,error_injected,load_level,group,service,r_old,r_new,action,effective_delta,cpu_before,rps_before,err_before,lat_before,cpu_after,rps_after,err_after,lat_after
1782284988,targeted_capacity,0,300,core,frontend,1,2,1,1,536.6669322477121,92.13333333333334,0.0,2.4061312217194573,516.5282436327943,94.17294486299086,0.0,2.372994011976047
1782285125,targeted_capacity,0,300,core,cartservice,3,4,1,1,137.71625856467045,147.56701780118675,0,0.026942652079582893,130.38899025712732,150.2991373609919,0,0.03377514519081566
1782285261,targeted_capacity,0,300,core,frontend,1,2,1,1,599.2954632124803,93.45420610585256,0.0,2.3945063291139244,598.9109197888804,93.12712485834277,0.0,2.405957683741649
1782285397,targeted_capacity,0,300,core,recommendationservice,2,1,-1,-1,147.50109077344555,71.73807174289905,0,0.047469871328997174,98.74618852959935,66.58220651494224,0,0.049916103079663
1782285533,targeted_capacity,0,300,core,productcatalogservice,3,4,1,1,279.809523850549,523.7551109004233,0,0.023912081051048275,274.2622535077976,506.5192478854463,0,0.02336481234848744
1782285669,targeted_capacity,0,300,core,frontend,2,3,1,1,612.1644689374542,93.3,0.0,2.314845814977974,609.9984848982009,94.66666666666666,0.0,2.3378867924528306
1782285806,targeted_capacity,0,300,core,cartservice,4,3,-1,-1,142.0667864219971,140.86651778274057,0,0.04321645200562603,116.64606086136,147.74387953547813,0,0.038803075113499064
1782285942,targeted_capacity,0,300,core,checkoutservice,3,2,-1,-1,80.14629762469576,9.766666666666666,0,0.1885,81.40468835030693,10.869565995638602,0,0.12659193216618947
1782286078,targeted_capacity,0,300,core,cartservice,1,2,1,1,103.0077146816099,146.3005778548251,0,0.03082344051102272,102.31016608255986,149.36496593742385,0,0.024489715379446525
1782286214,targeted_capacity,0,300,core,productcatalogservice,3,2,-1,-1,267.9660521508118,519.1173968126959,0,0.021628210815365694,219.57872378838215,525.8666666666667,0,0.02290836909871245
1782286350,targeted_capacity,0,300,core,cartservice,4,3,-1,-1,107.00083007284758,149.43479074506303,0,0.0249502488439308,114.55790692414566,148.94080348769836,0,0.03536925132245818
1782286486,targeted_capacity,0,300,core,checkoutservice,2,1,-1,-1,56.51643642257179,9.8,0,0.21584615384615394,66.65590996047189,10.066666666666666,0,0.17725000000000007
1782286622,targeted_capacity,0,300,core,cartservice,4,3,-1,-1,145.66597813820263,151.50781958900453,0,0.024476891076841353,127.92699724314174,153.06666666666666,0,0.024972182377049172
1782286758,targeted_capacity,0,300,core,recommendationservice,1,2,1,1,105.65846348053495,69.1,0,0.04722872340425533,101.1830573929584,72.43333333333334,0,0.04443298969072166
1782286894,targeted_capacity,0,300,core,checkoutservice,3,4,1,1,62.87314532905615,9.1,0,0.18350000000000033,55.31675994630471,9.733333333333333,0,0.21045454545454512
1782287030,targeted_capacity,0,300,core,cartservice,4,3,-1,-1,114.70763429821085,153.40635105850976,0,0.024792764240984887,141.91866753015825,152.5384383315426,0,0.024556678269863404
1782287167,targeted_capacity,0,300,core,checkoutservice,2,1,-1,-1,71.34300721364627,10.7,0,0.21112499999999984,72.25282325513147,10.166666666666668,0,0.19375
1782287303,targeted_capacity,0,300,core,checkoutservice,2,3,1,1,64.73378565998425,9.366666666666667,0,0.21127272727272722,79.6663960829931,10.866666666666667,0,0.21226923076923077
1782287438,targeted_capacity,0,300,core,cartservice,2,2,0,0,119.91794958025632,150.06038614208973,0,0.030500719355598498,106.37353476889841,145.93333333333334,0,0.02490485996705106
1782287575,targeted_capacity,0,300,core,cartservice,1,2,1,1,110.40879845950776,152.1126237210957,0,0.03189171085539751,98.34280809594463,153.26666666666668,0,0.02472086513994912
1782287711,targeted_capacity,0,300,core,recommendationservice,3,4,1,1,151.45938391517848,72.33333333333333,0,0.04548922413793104,147.53544942184718,71.63333333333333,0,0.04545604395604387
1782287847,targeted_capacity,0,300,core,recommendationservice,2,1,-1,-1,141.23162727984783,76.26666666666667,0,0.04160245901639341,112.88480148086809,70.6,0,0.04790247252747253
