timestamp,phase,error_injected,load_level,group,service,r_old,r_new,action,effective_delta,cpu_before,rps_before,err_before,lat_before,cpu_after,rps_after,err_after,lat_after
1782116509,normal,0,80,core,productcatalogservice,1,1,0,0,94.16596219968801,160.73333333333332,0,0.005094047619047594,97.06791224265059,165.76666666666665,0,0.004965379403794037
1782116609,normal,0,80,core,cartservice,1,2,1,1,54.725964550397116,46.13333333333333,0,0.009713235294117648,49.90100742117963,44.8,0,0.00981318681318682
1782116710,normal,0,80,core,cartservice,2,3,1,1,56.93011562744802,48.0,0,0.009684962406015038,54.368902255261844,46.233333333333334,0,0.010032142857142781
1782116811,normal,0,80,core,checkoutservice,1,1,0,0,18.331390094862027,3.0999999999999996,0,0.08800000000000002,12.617167951992151,2.6666666666666665,0,0.08999999999999994
1782116911,normal,0,80,core,cartservice,3,2,-1,-1,61.106472261886886,45.0,0,0.009652631578947364,61.90810903467208,48.66666666666667,0,0.012161764705882282
1782117012,normal,0,80,core,cartservice,2,3,1,1,57.81843178203065,47.3,0,0.009819345238095236,56.79473361409493,46.13333333333333,0,0.009671476510067115
1782117113,normal,0,80,core,paymentservice,2,1,-1,-1,5.831772529473885,3.3333333333333335,0,0.009444444444444446,5.531050655355216,2.7333333333333334,0,0.009333333333333329
1782117213,normal,0,80,core,productcatalogservice,1,2,1,1,96.20295250546165,161.9,0,0.004985934210526315,98.55835403852983,160.36666666666667,0,0.004974294913071475
1782117314,normal,0,80,core,frontend,1,1,0,0,318.83944759370155,29.966666666666665,0.0,0.22892968749999998,334.61341238915867,28.766666666666666,0.0,0.09988333333333332
1782117415,normal,0,80,core,cartservice,3,4,1,1,40.154216288250765,46.13333333333333,0,0.00995995575221239,62.85532800238407,45.53333333333333,0,0.016058695652173802
1782117515,normal,0,80,core,recommendationservice,1,2,1,1,16.35377090491065,21.299999999999997,0,0.02321944444444443,44.57352060356605,22.600757828299663,0,0.023508142579145557
1782117616,normal,0,80,core,paymentservice,1,1,0,0,7.869834024648543,3.8666666666666663,0,0.009338888888888886,4.885545665459238,3.0,0,0.00895
1782117716,normal,0,80,core,paymentservice,1,2,1,1,6.599345145329069,2.966666666666667,0,0.020399999999999956,5.588319014741735,3.0666666666666664,0,0.010149999999999984
1782117817,normal,0,80,core,productcatalogservice,2,1,-1,-1,101.87810212254931,170.73333333333332,0,0.004981613300492612,66.82856347686888,166.1,0,0.004984455097475232
1782117918,normal,0,80,core,cartservice,4,5,1,1,63.7901317549569,46.6,0,0.009888978494623654,46.37718948088411,47.100251127852964,0,0.009726583056642032
1782118018,normal,0,80,core,checkoutservice,1,2,1,1,28.01129374330172,3.333333333333333,0,0.09349999999999997,27.315473448503532,3.466666666666667,0,0.09150000000000003
1782118119,normal,0,80,core,frontend,1,2,1,1,354.9931661471634,29.466666666666665,0.0,0.2251792452830187,299.07408264517375,29.066666666666666,0.0,0.21703750000000013
1782118220,normal,0,80,core,frontend,2,1,-1,-1,342.0521636656974,28.866666666666667,0.0,0.17741666666666694,302.76557747227884,29.53333333333333,0.0,0.22805000000000009
1782118321,normal,0,80,core,cartservice,5,6,1,1,58.03197113012723,46.166666666666664,0,0.009891860465116285,60.11977748533602,45.99999999999999,0,0.009943902439024387
1782118421,normal,0,80,core,productcatalogservice,1,1,0,0,80.85456729286435,159.96666666666667,0,0.006569852941176495,95.79849776716051,160.56666666666666,0,0.004970487483530962
1782118522,normal,0,80,core,cartservice,6,7,1,1,57.10606644163536,45.766666666666666,0,0.009701863354037268,38.31174337210262,47.46666666666667,0,0.00990757575757575
1782118623,normal,0,80,core,recommendationservice,2,3,1,1,47.02012119042516,22.233333333333334,0,0.022415384615384608,57.62523104448909,23.03333333333333,0,0.024252521008403364
1782118723,normal,0,80,core,checkoutservice,2,2,0,0,24.64954849056717,2.5999999999999996,0,0.09385714285714286,25.448441999838124,2.933333333333333,0,0.09634615384615385
1782118824,normal,0,80,core,frontend,1,2,1,1,278.24280818819045,28.233333333333334,0.0,0.21462499999999995,317.8875810806996,29.23333333333333,0.0,0.20775806451612905
1782118971,normal,0,140,leaf,adservice,4,5,1,1,57.639387886896806,58.2686135929235,0,0.00991155021669256,61.8604767716904,56.677561686181626,0,0.015005199321211264
1782118971,normal,0,140,leaf,emailservice,5,6,1,1,11.565063226647402,5.0,0,0.013899999999999984,12.23879686879083,6.466666666666667,0,0.020250000000000015
1782118971,normal,0,140,leaf,currencyservice,8,7,-1,-1,448.867139183038,433.55778321676894,0,0.013241595630729535,453.8334448825698,444.03333333333336,0,0.01591940298507465
1782118971,normal,0,140,leaf,shippingservice,2,1,-1,-1,16.992393908929444,20.166666666666664,0,0.009269047619047639,21.01308771772947,23.733333333333334,0,0.009632142857142863
1782119075,normal,0,140,leaf,adservice,5,4,-1,-1,67.24070044769853,59.16821348801547,0,0.018498587377324884,50.341934783974104,59.33333333333333,0,0.019265000000000077
1782119075,normal,0,140,leaf,emailservice,6,7,1,1,12.571714411386253,5.133333333333334,0,0.019187499999999972,14.684599566126774,5.566666666666666,0,0.018474999999999995
1782119075,normal,0,140,leaf,currencyservice,7,6,-1,-1,448.96901967263653,447.06666666666666,0,0.01789230769230767,449.9062052488629,443.8666666666667,0,0.01581291208791209
1782119075,normal,0,140,leaf,shippingservice,1,1,0,0,19.226187133263434,20.666666666666668,0,0.00997765957446808,15.83813289488905,20.333333333333332,0,0.00996142857142857
1782119179,normal,0,140,leaf,adservice,4,5,1,1,73.48816735075971,58.13333333333333,0,0.014037499999999984,73.65927091861982,61.43333333333333,0,0.01812812499999992
1782119179,normal,0,140,leaf,emailservice,7,7,0,0,13.487918993710789,5.1,0,0.013524999999999924,14.131066606217072,4.899753357997533,0,0.02055978399999995
1782119179,normal,0,140,leaf,currencyservice,6,7,1,1,498.81506722145883,438.4333333333333,0,0.017723493975903587,443.091175871027,452.51173717806245,0,0.009936862493491903
1782119179,normal,0,140,leaf,shippingservice,1,2,1,1,18.164465256458183,20.266666666666666,0,0.013918750000000006,14.81698242556382,19.966666666666665,0,0.009193749999999992
